custId,custName,custCountry,productSold,salesChannel,unitsSold,dateSold
23262,Candice Levy,Congo,SUPA101,Retail,117,8/9/2012
23263,Xerxes Smith,Panama,DETA200,Online,73,7/6/2012
23264,Levi Douglas,"Tanzania, United Republic of",DETA800,Online,205,8/18/2012
23265,Uriel Benton,South Africa,SUPA104,Online,14,8/5/2012
23266,Celeste Pugh,Gabon,PURA200,Retail,170,8/11/2012
23267,Vance Campos,Syrian Arab Republic,PURA100,Retail,129,7/11/2012
23268,Latifah Wall,Guadeloupe,DETA100,Retail,82,7/12/2012
23269,Jane Hernandez,Macedonia,PURA100,Retail,116,6/3/2012
23270,Wanda Garza,Kyrgyzstan,SUPA103,Online,67,6/7/2012
23271,Athena Fitzpatrick,Reunion,SUPA103,Retail,125,7/27/2012
23272,Anjolie Hicks,Turks and Caicos Islands,DETA200,Retail,71,7/31/2012
